id	effectiveTime	active	moduleId	conceptId	languageCode	typeId	term	caseSignificanceId
2884458015	20030731	1	900000000000207008	125671007	en	900000000000550004	Disruption of continuity of tissue, not necessarily due to external forces; may be due to weakness in the tissue or excessive internal pressures	900000000000017005
2884637015	20030731	1	900000000000207008	113343008	en	900000000000550004	An anatomical structure that consists of the maximal set of organ parts so connected to one another that together they constitute a self-contained unit of macroscopic anatomy, distinct both morphologically and functionally from other such units. Together with other organs, an organ constitutes an organ system or a body part. An organ is divisible into organ parts but not organs (examples: femur, biceps, liver, heart, aorta, sciatic nerve, ovary).	900000000000017005
2884645013	20030731	1	900000000000207008	113011001	en	900000000000550004	An exploration using the sense of touch	900000000000017005
2884660011	20030731	1	900000000000207008	118292001	en	900000000000550004	To take something off or out, to get rid of, to eliminate	900000000000017005
2884708014	20030731	1	900000000000207008	62972009	en	900000000000550004	Removal done by pulling	900000000000017005
2884762013	20030731	1	900000000000207008	122972007	en	900000000000550004	Any vein draining the lungs, including pulmonary veins proper and their tributaries	900000000000017005
2884805019	20050731	1	900000000000207008	417163006	en	900000000000550004	Disorder resulting from physical damage to the body	900000000000017005
2884811016	20030731	1	900000000000207008	123038009	en	900000000000550004	Material (structure, substance, device) removed from a source (patient, donor, physical location, product)	900000000000017005
2884868019	20030731	1	900000000000207008	86075001	en	900000000000550004	Includes both quantitative and qualitative disorders of procoagulants	900000000000017005
2884901010	20040731	1	900000000000207008	386053000	en	900000000000550004	Determination of a value, conclusion, or inference by evaluating evidence	900000000000017005
2955721015	20130131	1	900000000000207008	473011001	en	900000000000550004	The disposition to develop an allergic reaction, the allergic reaction itself or its consequences.	900000000000017005
2967791011	20130731	1	900000000000207008	472963003	en	900000000000550004	An immune or non-immune mediated pathological process that represents the underlying mechanism of hypersensitivity conditions.	900000000000017005
2967797010	20130731	1	900000000000207008	473010000	en	900000000000550004	The disposition to develop an allergic or pseudoallergic reaction, the reaction itself or its consequences.	900000000000017005
2967806018	20130731	1	900000000000207008	472964009	en	900000000000550004	A type of immune mediated hypersensitivity process that represents the underlying mechanism of allergic conditions.	900000000000017005
2983212013	20140131	1	900000000000207008	699189004	en	900000000000550004	Severe autosomal recessive intrahepatic cholestasis described in aboriginal children from northwestern Quebec. First manifestation as neonatal jaundice, progresses to periportal fibrosis and cirrhosis.	900000000000017005
2986291011	20140131	1	900000000000207008	128045006	en	900000000000550004	Inflammation located in and spreading along planes of connective tissue. In regions of the body covered by skin, it involves subcutaneous tissue and also the dermis. It may spread to deeper fascial layers and muscle.	900000000000017005
3006691014	20140731	1	900000000000207008	702969000	en	900000000000550004	The reactivation of latent hepatitis C infection usually caused by a medicinal agent, such as an immunosuppressant.	900000000000017005
3012970011	20150131	1	900000000000012004	246501002	en	900000000000550004	This attribute is used to specify the systematic method of a procedure used to accomplish a specific activity.	900000000000017005
3012982019	20150131	1	900000000000012004	704321009	en	900000000000550004	This attribute specifies the process which the property describes, and on which the property (of this observable) depends. The process can be very general.	900000000000017005
3012983012	20150131	1	900000000000012004	370132008	en	900000000000550004	This attribute refers to the scale of the result of an observation or a diagnostic test.	900000000000017005
3028153014	20150131	1	900000000000207008	235865005	en	900000000000550004	Acute hepatitis D infection in carrier person with chronic hepatitis B virus infection.	900000000000017005
3030938012	20150131	1	900000000000012004	704319004	en	900000000000550004	This attribute specifies the independent continuant which bears the quality, and on which the dependent quality (of this observable) depends.	900000000000017005
3288740014	20160131	1	900000000000207008	86273004	en	900000000000550004	Removal of tissue for diagnostic examination.	900000000000017005
3298283016	20160131	1	900000000000207008	713966008	en	900000000000550004	Chronic hepatitis B with negative hepatitis B surface antigen and low level viral replication but positive hepatitis B virus deoxyribonucleic acid test.	900000000000017005
3451171011	20180131	1	900000000000012004	726633004	en	900000000000550004	A period of time occurring before, during and or after a clinical entity	900000000000017005
3499910014	20190131	1	900000000000012004	732943007	en	900000000000550004	This attribute represents an ingredient that is the part of the active ingredient that the strength of a given product is based upon.	900000000000017005
3499912018	20170731	1	900000000000012004	732945000	en	900000000000550004	This attribute specifies the numerator unit for the presentation strength of a product.	900000000000017005
3499914017	20170731	1	900000000000012004	732947008	en	900000000000550004	This attribute specifies the denominator unit for the presentation strength of a product.	900000000000017005
3504497010	20190131	1	900000000000012004	733722007	en	900000000000550004	This attribute specifies the denominator unit for the concentration strength of a product.	900000000000017005
3504515015	20180131	1	900000000000012004	733725009	en	900000000000550004	This attribute specifies the numerator unit for the concentration strength of a product.	900000000000017005
3534531010	20190131	1	900000000000012004	370130000	en	900000000000550004	This attribute is used to specify the type of inherent quality, function, disposition or process characteristic that is being observed or measured. Its values are abstract types of quality (length, odor, concentration) or abstract types of process characteristic (rate, speed, duration), and do not include qualities that are located (length of arm, odor of urine), or given a value (elevated concentration).	900000000000017005
3663813016	20190131	1	900000000000012004	762949000	en	900000000000550004	The most specific description of a substance present in the manufactured dose form, before any dilution or transformation. It includes modifiers, such as salts, esters, polymers (e.g. pegylation), and/or solvates (including waters of hydration).	900000000000017005
3663814010	20190131	1	900000000000012004	127489000	en	900000000000550004	The clinically relevant part or whole of the substance that is intended to have a therapeutic action on or within the body. It excludes esters, salts or other non-covalent derivatives (such as a complex, chelate etc.), but may include secondary modifications.	900000000000017005
3664983015	20180731	1	900000000000207008	767023003	en	900000000000550004	Any period of life commencing after birth, but before death.	900000000000017005
3756623018	20190731	1	900000000000207008	129325002	en	900000000000550004	To put or insert something into the body.	900000000000017005
